Word,Definition
asperity    ,"Rigor, severity; harshness or sharpness of tone; roughness of surface"
aspersion,Slander           
aspersions       ,"Damaging remarks, defamation, slander"
assail,With attack violently         
assail    ,"Attack violently, assault"
assiduous,Diligent hard-working sedulous         
assiduous    ,"Persevering, diligent, constant"
assuage,Make smth (pain desire) less       
assuage    ,"Make milder, relieve; soothe, pacify, or calm"
asterisk,The mark * (e.g.. omitted letters)      
astringent,Substance that shrinks         
astute,Clever quick at seeing to get an advantage    
atonement,Repayment death of jesus        
attenuate,Make thin. weaken enervate        
attenuate    ,Weaken or thin out
attune,Bring into harmony       
attuned    ,In harmony; in sympathetic relationship
audacious,Daring foolishly bold impudent        
audacious    ,"Very bold or brave, often in a rude or reckless way; extremely original"
augment    ,Make larger
augury,Omen sign          
augury    ,"Telling the future, such as through supernatural means"
august,Majestic venerable          
august    ,"Venerable, majestic; inspiring admiration"
auspicious,Favorable successful prosperous         
austere,Severely moral and strict simple and plain     
austere    ,"Severe in manner or appearance; very self-disciplined, ascetic; without luxury or ease; sober or serious"
autonomous   ,"Self-governing, independent"
auxiliary,Helping supporting          
avarice    ,Insatiable greed; a miserly desire to hoard wealth
aver,Affirm assert prove justify        
aver    ,Declare or affirm with confidence
aversion,Strong dislike          
avid,Eager greedy          
avid    ,"Enthusiastic, dedicated, passionate; excessively desirous"
avow,Admit. declare openly         
axiom    ,Self-evident truth requiring no proof; universally or generally accepted principle
baleful,Harmful ominous causing evil        
balk,Obstacle purposely to get on the way of    
balk    ,Refuse to proceed or to do something
balloon    ,Swell or puff out; increase rapidly
banal    ,Lacking freshness and originality; cliché
bane    ,Something that ruins or spoils
baneful,Causing harm or ruin pernicious destructive      
barrage,Artificial obstacle built across a river      
barren,Not good enough unable to have young ones without value  
base    ,"Morally low, mean, dishonorable; of little or no value; crude and unrefined; counterfeit"
bask,In enjoy warmth and light       
baying    ,"Howling in a deep way, like a dog or wolf"
beatify,To bless make happy or ascribe a virtue to   
bedizen,To adorn especially in a cheap showy manner    
belabor,Beat hard        
belie    ,Contradict or misrepresent
bellicose,Belligerent pugnacious warlike         
belligerent,(person nation) waging war        
benefactor,Person who has given help       
beneficent    ,Doing good
benevolence,Wish or activity in doing good      
benign,Kind and gentle mild (climate)       
benign    ,"Harmless; favorable; kindly, gentle, or beneficial; not cancerous"
bent    ,Personal inclination or tendency
bequest,Arrangement to give smth at death      
berate,Scold sharply          
bereft,Rob or dispossess of smth (material)      
besiege    ,"Attack, overwhelm, crowd in on or surround"
bevy    ,Group of birds or other animals that stay close together; any large group
bewilder,Puzzle confuse          
bifurcate    ,To fork into two branches or divide into two halves
bigot,Stubborn narrow-minded person         
bilge,Bulge the protuberance of a cask      
bilk,Cheat or defraud
blandishment,Flattery coaxing          
blandness,Polite manner comforting uninteresting        
blatant,Noisy and rough         
blight,"Disease that kills plants rapidly, or any cause of decay or destruction (noun); ruin or cause to wither (verb)"
blithe,"Cheerful casual carefree         ; Joyous, merry; excessively carefree (so as to ignore more important concerns)"
bogus,"Sham counterfeit not genuine        ; Fake, fraudulent"
boisterous,Loud noisy rough lacking restraint       
bolster,Give greatly needed support        ; Strengthen or support
bombastic,(of speech or writing) far too showy or dramatic than is appropriate; pretentious
bonhomie,"Friendliness, open and simple good heartedness"
boor,"Rude, ill-mannered, or insensitive person; a peasant or country bumpkin"
boorish,Crude offensive rude         
brandish,"Shake, wave, or flourish, as a weapon"
brash,Hasty rush cheeky saucy        
brass,Yellow metal (mixing copper and zinc)      
brazen,Made of brass         
breach,Opening broken place breaking        
brittle,Easily broken          
broach,Bring up announce begin to talk about     
brook,Suffer or tolerate; To tolerate endure         
bucolic,Pertaining to shepherds; suggesting a peaceful and pleasant view of rural life
buffer,"Something that shields, protects, absorbs shock, or cushions"
buoyant,Able to float light-hearted        
bureaucracy ,"Government characterized by many bureaus and petty administrators or by excessive, seemingly meaningless requirements"
burgeon,Grow or flourish rapidly; put forth buds or shoots (of a plant); Grow forth send out buds       
burnish,"Polish, make smooth and lustrous; To polish rub to a shine      "
buttress,"Support or encourage (verb); a support or prop, esp. projecting from and supporting the wall of a building (noun)"
bygone,"Past, former (adj); that which is in the past (usually plural noun)"
cabal,A scheme or plot a group of plotters    
cacophony,"Harsh, discordant, or meaningless mixture of sounds"
cadge,To beg to get by begging      
cajole,Use flattery or deceit to persuade    
calipers,Metal supports attached to the legs measuring instrument    
calumny,Malicious lie intended to hurt someone's reputation; the act of telling such lies; Slander aspersion          
canard,"Rumor, a false or baseless story"
candid,"Open, sincere, honest; Frank straight-forward          "
canonical,"Authorized, recognized; pertaining to the canon, or body of accepted rules, standards or artistic works"
cant,Insincere talk/jargon        
cantankerous,Bad-tempered/quarrelsome         
canvass,Discuss thoroughly sort of touting       
capricious,"Acting on impulse, erratic"
cardinal,"Chief, most important"
cartography   ,Mapmaking
castigate,Criticize severely; punish in order to correct; To chastise correct by punishing       
castigation,Severe punishment          
catalyst,Substance that causes speeding up       ; Causer of change
catholic    ,"Universal, broad-minded"
caustic,Biting sarcastic          
caustic    ,Capable of corroding metal or burning the skin; very critical or sarcastic
censure,Expression of blame or disapproval a rebuke     
censure    ,Strong disapproval or official reprimand (noun); to issue such disapproval or reprimand (verb)
centurion,Leader of a unit of 100 soldiers     
chary,Cautious wary          
chastened,Corrected punished          
chastisement,Punishment           
chauvinism    ,"Fanatical patriotism or blind enthusiasm for military glory; undue or biased devotion to any group, cause, etc."
chauvinist,A blindly devoted patriot        
chicanery,Legal trickery/false argument       
chicanery    ,"Trickery, deception by knowingly false arguments"
chisel,Steel tool for shaping materials       
chronological    ,Arranged in or relating to time order
churl,Bad-tempered person          
circumscribe    ,"Strictly limit a role, range of activity, or area; in math, to be constructed around so as to touch as many points as possible"
circumspect    ,"Cautious, prudent; careful to consider the circumstances and consequences"
clamber    ,"Climb awkwardly or with difficulty, scramble"
clamor,Shout complain with a lot of noise     
clamor    ,"Noisy uproar or protest, as from a crowd; a loud, continuous noise"
clientele,Customers         
clinch,Come to grips/settle conclusively      
clinch    ,Make final or settle conclusively; to fasten or hold together
cling,To resist separation         
clot,Half-solid lump formed from liquid       
cloture,Closing device (in parliament) to end a debate by voting  
cloying    ,Disgustingly or distastefully sweet
coagulate    ,Cause a liquid to become solid or semisolid
coagulation,Change to a thick and solid state   
coalesce    ,"Come together, unite; fuse together"
coalescing,Coming together and uniting into one substance     
